country,date,GDP_PER_CAPITA,LIFE_EXPECTANCY,YOUTH_UNEMPLOYED,HIGH_TECH_EXPORTS,HOMICIDE_INDEX,RULE_OF_LAW_INDEX,INCOME_INEQUALITY,GENDER_PARITY_TERTIARY_EDUCATION
India,2007,3661.95550498043,65.35,15.5380129814148,,3.8338097447,56.45933,,
India,2006,3453.10566102778,64.918,,,3.8577030332,58.37321,,
India,2005,3245.29988504732,64.5,,,3.9294710735,56.9378,,
Kazakhstan,2019,26351.8044418782,73.18,,29.7754783779744,,36.05769,,1.01866
Kazakhstan,2018,25544.3447563035,73.15,,23.4784896812301,,36.05769,27.8,
Kazakhstan,2017,24862.9661245889,72.95,13.2072418928146,24.2421191480634,5.06083427,38.46154,27.5,
Kazakhstan,2016,24210.8629616382,72.41,,32.1432804608745,,36.05769,27.2,1.00932
Kazakhstan,2015,24290.4176339265,71.97,,43.4449483883129,4.8543109183,38.94231,26.8,1.11381
Kazakhstan,2014,24355.7561188887,71.44,,39.2886494770392,5.2246425816,32.21154,27.0,0.99661
Kazakhstan,2013,23720.8160716034,70.62,8.15822407603264,38.5530049944154,6.5781289663,30.51643,27.1,0.99492
Kazakhstan,2012,22702.5788406786,69.52,,31.0130054002575,7.5575217847,30.51643,28.2,0.99447
Kazakhstan,2011,21970.0839239319,68.69,,25.6819740987895,8.6109302176,32.39437,28.0,0.99034
Kazakhstan,2010,20751.2572399462,68.45,,35.3591460403338,8.534190879,31.75356,28.0,
Kazakhstan,2009,19614.7353205278,68.39,,31.6868871667791,11.039072144,31.75356,28.2,0.98191
Kazakhstan,2008,19770.2166481541,67.11,,,11.39191556,23.55769,28.5,0.97348
Kazakhstan,2007,19500.4789415616,66.34,,,,19.13876,30.1,0.97882
Kazakhstan,2006,18112.7787011954,66.15,,,,15.311,30.2,0.98196
Kazakhstan,2005,16536.0154072377,65.86,,,,22.96651,39.8,0.9839
"Korea, Rep.",2019,42719.0002563009,83.2268292682927,,32.4074909041543,,86.05769,,
"Korea, Rep.",2018,41948.3460057222,82.6268292682927,,36.3914425096334,0.60384939332,86.05769,,1.00407
"Korea, Rep.",2017,40957.4180587145,82.6268292682927,9.37809273600578,32.5500266818874,0.58908250459,85.57692,,1.00292
"Korea, Rep.",2016,39814.6589279289,82.2756097560976,9.99107956886292,30.526875465186,0.70807296941,86.05769,31.4,0.99766
"Korea, Rep.",2015,38828.7409976118,82.0243902439024,8.46442803740501,31.2272801332659,0.73785364514,80.28846,,0.996
"Korea, Rep.",2014,37967.475617995,81.7219512195122,7.06802010536194,30.0603674039714,0.74494292433,80.76923,31.2,0.99588
